1, 	2.300742, 	12.860000
2, 	2.300743, 	12.860000
3, 	2.300744, 	12.860000
4, 	2.300745, 	12.860000
5, 	2.300746, 	12.860000
6, 	2.300747, 	12.860000
7, 	2.300747, 	12.860000
8, 	2.300748, 	12.860000
9, 	2.300749, 	12.860000
10, 	2.300750, 	12.860000
11, 	2.300751, 	12.860000
12, 	2.300751, 	12.860000
13, 	2.300752, 	12.860000
14, 	2.300753, 	12.860000
15, 	2.300754, 	12.860000
16, 	2.300755, 	12.860000
17, 	2.300756, 	12.860000
18, 	2.300756, 	12.860000
19, 	2.300757, 	12.860000
20, 	2.300758, 	12.860000
21, 	2.300759, 	12.860000
22, 	2.300760, 	12.860000
23, 	2.300761, 	12.860000
24, 	2.300762, 	12.860000
25, 	2.300763, 	12.860000
26, 	2.300763, 	12.860000
27, 	2.300764, 	12.860000
28, 	2.300765, 	12.860000
29, 	2.300766, 	12.860000
30, 	2.300767, 	12.860000
31, 	2.300768, 	12.860000
32, 	2.300769, 	12.860000
33, 	2.300770, 	12.860000
34, 	2.300771, 	12.860000
35, 	2.300771, 	12.860000
36, 	2.300772, 	12.860000
37, 	2.300773, 	12.860000
38, 	2.300774, 	12.860000
39, 	2.300775, 	12.860000
40, 	2.300776, 	12.860000
41, 	2.300777, 	12.860000
42, 	2.300777, 	12.860000
43, 	2.300778, 	12.860000
44, 	2.300779, 	12.860000
45, 	2.300780, 	12.860000
46, 	2.300781, 	12.860000
47, 	2.300782, 	12.860000
48, 	2.300783, 	12.860000
49, 	2.300784, 	12.860000
50, 	2.300785, 	12.860000
